org,repository,url,state,created_at,merged_at,user.login,title
"jenkinsci","workflow-api-plugin","https://github.com/jenkinsci/workflow-api-plugin/pull/160","closed","2021-06-21T21:59:28Z","2021-06-23T18:13:34Z","bitwiseman","[JENKINS-65821] Fix race condition by using ConcurrentHashMap"
"jenkinsci","workflow-api-plugin","https://github.com/jenkinsci/workflow-api-plugin/pull/161","closed","2021-06-23T22:50:51Z","2021-06-24T20:13:38Z","bitwiseman","[JENKINS-65821] Fix race condition by using ConcurrentHashMap"
"jenkinsci","openshift-sync-plugin","https://github.com/jenkinsci/openshift-sync-plugin/pull/62","closed","2021-06-24T15:54:11Z","2021-06-24T16:11:48Z","akram","Prepare release 1.0.47"
"jenkinsci","maven-hpi-plugin","https://github.com/jenkinsci/maven-hpi-plugin/pull/225","closed","2021-06-23T19:47:09Z","2021-06-24T15:38:37Z","timja","Log artifactId in validate mojo on IOException"
"jenkinsci","jira-plugin","https://github.com/jenkinsci/jira-plugin/pull/352","closed","2021-06-22T20:52:54Z","2021-06-23T21:55:00Z","jglick","Ensure calls to `UriBuilder.fromUri` use a suitable `Thread.contextClassLoader`"
"jenkinsci","leanix-microservice-intelligence-plugin","https://github.com/jenkinsci/leanix-microservice-intelligence-plugin/pull/8","closed","2021-06-23T09:39:53Z","2021-06-24T13:21:54Z","fposchner-cc","Bug/cid 174 error in generating dependency file under linux"
"jenkinsci","leanix-microservice-intelligence-plugin","https://github.com/jenkinsci/leanix-microservice-intelligence-plugin/pull/7","closed","2021-06-18T07:41:08Z","2021-06-18T07:50:50Z","fposchner-cc","changed version of required Jenkins back to the latest LTS."
"jenkinsci","azure-keyvault-plugin","https://github.com/jenkinsci/azure-keyvault-plugin/pull/84","closed","2021-06-23T18:57:11Z","2021-06-24T05:59:13Z","jglick","Use `SecretPatterns` from `MaskingConsoleLogFilter`"
"jenkinsci","urbancode-velocity-plugin","https://github.com/jenkinsci/urbancode-velocity-plugin/pull/45","closed","2021-06-24T09:53:33Z","2021-06-24T10:03:41Z","lalitKumarHCL","[maven-release-plugin] prepare for next development iteration"
"jenkinsci","opentelemetry-plugin","https://github.com/jenkinsci/opentelemetry-plugin/pull/135","closed","2021-06-22T15:41:59Z","2021-06-24T09:36:26Z","v1v","Remove duplicated metrics"
"jenkinsci","azure-ad-plugin","https://github.com/jenkinsci/azure-ad-plugin/pull/149","closed","2021-06-24T08:19:02Z","2021-06-24T08:27:06Z","timja","Add support for display name to loadGroupByGroupName"
"jenkinsci","credentials-binding-plugin","https://github.com/jenkinsci/credentials-binding-plugin/pull/139","closed","2021-06-23T16:38:56Z","2021-06-23T20:48:59Z","jglick","Introduced `MaskingOutputStream` to DRY between Pipeline & freestyle"
"jenkinsci","docker-agent","https://github.com/jenkinsci/docker-agent/pull/175","closed","2021-06-23T10:54:30Z","2021-06-23T16:48:44Z","agentgonzo","chore: use latest remoting version"
"jenkinsci","credentials-binding-plugin","https://github.com/jenkinsci/credentials-binding-plugin/pull/138","closed","2021-06-23T16:02:36Z","2021-06-23T16:18:17Z","jglick","Use `LineTransformationOutputStream.Delegating`"
"jenkinsci","opentelemetry-plugin","https://github.com/jenkinsci/opentelemetry-plugin/pull/136","closed","2021-06-23T13:10:56Z","2021-06-23T15:52:10Z","v1v","Add shallow clone attributes"
"jenkinsci","datadog-plugin","https://github.com/jenkinsci/datadog-plugin/pull/220","closed","2021-06-21T20:38:33Z","2021-06-23T14:50:54Z","ChristineTChen","Add note on pipeline tag limitation"
"jenkinsci","azure-sdk-plugin","https://github.com/jenkinsci/azure-sdk-plugin/pull/24","closed","2021-06-23T13:59:29Z","2021-06-23T14:45:46Z","krische","Allow setting of HTTP client timeouts with system properties"
"jenkinsci","datadog-plugin","https://github.com/jenkinsci/datadog-plugin/pull/219","closed","2021-06-21T20:21:48Z","2021-06-23T14:39:29Z","ChristineTChen","Lower log severity"
"jenkinsci","pull-request-monitoring-plugin","https://github.com/jenkinsci/pull-request-monitoring-plugin/pull/115","closed","2021-06-21T11:55:46Z","2021-06-23T13:55:03Z","simonsymhoven","Issue#114 resource bundle"
"jenkinsci","urbancode-velocity-plugin","https://github.com/jenkinsci/urbancode-velocity-plugin/pull/44","closed","2021-06-23T11:14:25Z","2021-06-23T13:16:40Z","lalitKumarHCL","Maven release plugin] prepare release urbancode velocity 2.1.1"
"jenkinsci","JenkinsPipelineUnit","https://github.com/jenkinsci/JenkinsPipelineUnit/pull/377","closed","2021-06-23T11:41:34Z","2021-06-23T11:46:06Z","nre-ableton","Make CLONE_TIMEOUT a value in minutes, not seconds"
"jenkinsci","JenkinsPipelineUnit","https://github.com/jenkinsci/JenkinsPipelineUnit/pull/376","closed","2021-06-23T11:32:23Z","2021-06-23T11:36:14Z","nre-ableton","Provide a mock for the wrap step"
"jenkinsci","snyk-security-scanner-plugin","https://github.com/jenkinsci/snyk-security-scanner-plugin/pull/89","closed","2021-06-23T10:43:57Z","2021-06-23T11:24:40Z","jahed-snyk","chore: remove remaining references to travis"
"jenkinsci","warnings-ng-plugin","https://github.com/jenkinsci/warnings-ng-plugin/pull/973","closed","2021-06-22T13:52:58Z","2021-06-23T07:25:58Z","Roysten","Fix labels for radio buttons chart configuration"
"jenkinsci","warnings-ng-plugin","https://github.com/jenkinsci/warnings-ng-plugin/pull/974","closed","2021-06-22T16:18:13Z","2021-06-23T07:26:16Z","pjdarton","Fix Stapler ""ERROR"" for Groovy Parser job-configuration web-form"
"jenkinsci","hpe-application-automation-tools-plugin","https://github.com/jenkinsci/hpe-application-automation-tools-plugin/pull/407","closed","2021-06-23T06:47:54Z","2021-06-23T07:01:58Z","jay-hershkowitz","Update UFT_Mobile_Integration.md"
"jenkinsci","hpe-application-automation-tools-plugin","https://github.com/jenkinsci/hpe-application-automation-tools-plugin/pull/406","closed","2021-06-22T13:12:50Z","2021-06-23T05:12:21Z","jay-hershkowitz","Update UFT_Mobile_Integration.md"
"jenkinsci","blueocean-plugin","https://github.com/jenkinsci/blueocean-plugin/pull/2185","closed","2021-06-23T00:50:12Z","2021-06-23T03:14:26Z","olamy","blueocean-maven-plugin 0.0.3"
"jenkinsci","azure-ad-plugin","https://github.com/jenkinsci/azure-ad-plugin/pull/147","closed","2021-06-22T19:16:56Z","2021-06-22T19:24:12Z","timja","Use AbstractItem for attaching GraphProxy to job"
"jenkinsci","veracode-scan-plugin","https://github.com/jenkinsci/veracode-scan-plugin/pull/41","closed","2021-06-22T14:25:01Z","2021-06-22T17:36:43Z","sbuhary","JENKINS-65953 Add SCA Agent-Based scan into build pipeline"
"jenkinsci","notification-plugin","https://github.com/jenkinsci/notification-plugin/pull/42","open","2021-06-22T14:18:15Z",,"derhecht","Add branch option to only notify when building specific branch"
"jenkinsci","hpe-application-automation-tools-plugin","https://github.com/jenkinsci/hpe-application-automation-tools-plugin/pull/404","closed","2021-06-16T11:38:26Z","2021-06-22T13:08:58Z","dorin7bogdan","DEF-618172 [Jenkins Plug-in] Dysfunctional ""Environment Wizard"" button for ""UFT parallel running mode"""
"jenkinsci","checkmarx-plugin","https://github.com/jenkinsci/checkmarx-plugin/pull/66","closed","2021-06-21T13:31:45Z","2021-06-22T11:32:18Z","umeshwaghode","Regression fix"
"jenkinsci","huaweicloud-ecs-plugin","https://github.com/jenkinsci/huaweicloud-ecs-plugin/pull/1","closed","2021-06-22T02:15:14Z","2021-06-22T10:35:50Z","xwz123","auto release config"
"jenkinsci","remoting-opentelemetry-plugin","https://github.com/jenkinsci/remoting-opentelemetry-plugin/pull/43","closed","2021-06-21T08:45:00Z","2021-06-22T10:14:08Z","Aki-7","Convert to multi module maven project"
"jenkinsci","jenkins","https://github.com/jenkinsci/jenkins/pull/5582","closed","2021-06-20T14:33:50Z","2021-06-22T05:30:17Z","daniel-beck","Terminology cleanup: Internal and Javadoc changes"
"jenkinsci","snyk-security-scanner-plugin","https://github.com/jenkinsci/snyk-security-scanner-plugin/pull/87","closed","2021-06-18T09:39:16Z","2021-06-21T11:17:47Z","jahed-snyk","chore: migrate travis to github actions"
"jenkinsci","remoting-opentelemetry-plugin","https://github.com/jenkinsci/remoting-opentelemetry-plugin/pull/40","closed","2021-06-17T04:18:39Z","2021-06-21T08:20:43Z","Aki-7","Enable to provide telemetry data to OpenTelemetry Collector"
"jenkinsci","bom","https://github.com/jenkinsci/bom/pull/565","closed","2021-06-20T16:27:55Z","2021-06-20T17:29:34Z","basil","Bump `workflow-multibranch` from 2.24 to 2.26"
"jenkinsci","pipeline-graph-view-plugin","https://github.com/jenkinsci/pipeline-graph-view-plugin/pull/14","closed","2021-06-18T23:27:56Z","2021-06-19T15:27:16Z","fqueiruga","Adds polling to have live updates"
"jenkinsci","npm-yarn-wrapper-steps-plugin","https://github.com/jenkinsci/npm-yarn-wrapper-steps-plugin/pull/7","closed","2021-06-18T20:13:28Z","2021-06-18T21:03:47Z","jameslafferty","docs: adds badges to README"
"jenkinsci","npm-yarn-wrapper-steps-plugin","https://github.com/jenkinsci/npm-yarn-wrapper-steps-plugin/pull/5","closed","2021-06-18T17:36:54Z","2021-06-18T17:40:56Z","jameslafferty","fix: adds null pointer checks #4"
"jenkinsci","npm-yarn-wrapper-steps-plugin","https://github.com/jenkinsci/npm-yarn-wrapper-steps-plugin/pull/6","closed","2021-06-18T18:47:19Z","2021-06-18T18:52:49Z","jameslafferty","build: adds release plugin"
"jenkinsci","jenkins","https://github.com/jenkinsci/jenkins/pull/5579","closed","2021-06-18T13:36:30Z","2021-06-18T14:14:56Z","dduportal","chore: bump ath Docker image to 1.97-pre to fix ATH runs"
"jenkinsci","lambdatest-automation-plugin","https://github.com/jenkinsci/lambdatest-automation-plugin/pull/10","closed","2021-06-18T15:30:38Z","2021-06-18T16:08:33Z","sushobhit-lt","increase session API limit to 100 and bump version"
"jenkinsci","workflow-scm-step-plugin","https://github.com/jenkinsci/workflow-scm-step-plugin/pull/55","closed","2021-06-18T15:15:33Z","2021-06-18T15:17:39Z","car-roll","fix changelog dates"
